Run,alias,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,description,ena_checklist,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,Title
ERR1136337,I0047,OTHER,GCF_000001405.25,68,523415234,PRJEB11450,SAMEA3663864,155105266,HARVARD MEDICAL SCHOOL,public,"sra,bam","ncbi,ena,s3,gs","ena,gs.US,s3.us-east-1,ncbi.public",Central_LNBA,ERC000011,2015-11-25,2018-11-16,ERX1215203,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:07Z,public,NextSeq 500,I0047_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663864,ERS971013,ERS971013,ERP012840,Ancient European
ERR1136338,I0048,OTHER,GCF_000001405.25,66,175909139,PRJEB11450,SAMEA3663938,58165105,HARVARD MEDICAL SCHOOL,public,"bam,sra","s3,ena,gs,ncbi","ena,gs.US,s3.us-east-1,ncbi.public",LBK_EN,ERC000011,2015-11-25,2018-11-16,ERX1215204,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:54Z,public,NextSeq 500,I0048_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663938,ERS971087,ERS971087,ERP012840,Ancient European
ERR1136339,I0049,OTHER,GCF_000001405.25,59,210136106,PRJEB11450,SAMEA3663865,63015778,HARVARD MEDICAL SCHOOL,public,"bam,sra","s3,ncbi,ena,gs","gs.US,ncbi.public,s3.us-east-1,ena",Central_LNBA,ERC000011,2015-11-25,2018-11-16,ERX1215205,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:07Z,public,NextSeq 500,I0049_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663865,ERS971014,ERS971014,ERP012840,Ancient European
ERR1136340,I0054,OTHER,GCF_000001405.25,70,3997726793,PRJEB11450,SAMEA3663939,951478199,HARVARD MEDICAL SCHOOL,public,"sra,bam","gs,ena,s3,ncbi","gs.US,ena,s3.us-east-1,ncbi.public",LBK_EN,ERC000011,2015-11-25,2018-11-16,ERX1215206,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:54Z,public,NextSeq 500,I0054_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663939,ERS971088,ERS971088,ERP012840,Ancient European
ERR1136341,I0056,OTHER,GCF_000001405.25,80,84323858,PRJEB11450,SAMEA3663940,36333705,HARVARD MEDICAL SCHOOL,public,"bam,sra","s3,ena,gs,ncbi","gs.US,ena,ncbi.public,s3.us-east-1",LBK_EN,ERC000011,2015-11-25,2018-11-16,ERX1215207,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:54Z,public,NextSeq 500,I0056_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663940,ERS971089,ERS971089,ERP012840,Ancient European
ERR1136342,I0057,OTHER,GCF_000001405.25,53,34131730,PRJEB11450,SAMEA3663941,14849963,HARVARD MEDICAL SCHOOL,public,"bam,sra","gs,ena,ncbi,s3","gs.US,ena,ncbi.public,s3.us-east-1",LBK_EN,ERC000011,2015-11-25,2018-11-16,ERX1215208,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:54Z,public,NextSeq 500,I0057_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663941,ERS971090,ERS971090,ERP012840,Ancient European
ERR1136343,I0059,OTHER,GCF_000001405.25,65,315731926,PRJEB11450,SAMEA3663866,92642385,HARVARD MEDICAL SCHOOL,public,"sra,bam","ena,gs,ncbi,s3","s3.us-east-1,ena,ncbi.public,gs.US",Central_LNBA,ERC000011,2015-11-25,2018-11-16,ERX1215209,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:07Z,public,NextSeq 500,I0059_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663866,ERS971015,ERS971015,ERP012840,Ancient European
ERR1136344,I0060,OTHER,GCF_000001405.25,54,40064237,PRJEB11450,SAMEA3663854,14241696,HARVARD MEDICAL SCHOOL,public,"sra,bam","ena,gs,s3,ncbi","ncbi.public,s3.us-east-1,ena,gs.US",Bell_Beaker_LN,ERC000011,2015-11-25,2018-11-16,ERX1215210,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:06Z,public,NextSeq 500,I0060_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663854,ERS971003,ERS971003,ERP012840,Ancient European
ERR1136345,I0061,OTHER,GCF_000001405.25,66,1302578044,PRJEB11450,SAMEA3663896,346741019,HARVARD MEDICAL SCHOOL,public,"bam,sra","gs,ncbi,ena,s3","ncbi.public,s3.us-east-1,ena,gs.US",EHG,ERC000011,2015-11-25,2018-11-16,ERX1215211,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:09Z,public,NextSeq 500,I0061_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663896,ERS971045,ERS971045,ERP012840,Ancient European
ERR1136346,I0099,OTHER,GCF_000001405.25,68,1218880246,PRJEB11450,SAMEA3663867,337287861,HARVARD MEDICAL SCHOOL,public,"bam,sra","gs,s3,ncbi,ena","ena,s3.us-east-1,ncbi.public,gs.US",Central_LNBA,ERC000011,2015-11-25,2018-11-16,ERX1215212,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:07Z,public,NextSeq 500,I0099_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663867,ERS971016,ERS971016,ERP012840,Ancient European
ERR1136347,I0100,OTHER,GCF_000001405.25,59,1630517729,PRJEB11450,SAMEA3663942,426557318,HARVARD MEDICAL SCHOOL,public,"bam,sra","s3,gs,ncbi,ena","ena,s3.us-east-1,ncbi.public,gs.US",LBK_EN,ERC000011,2015-11-25,2018-11-16,ERX1215213,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:54Z,public,NextSeq 500,I0100_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663942,ERS971091,ERS971091,ERP012840,Ancient European
ERR1136348,I0103,OTHER,GCF_000001405.25,60,4254082659,PRJEB11450,SAMEA3663868,1240008586,HARVARD MEDICAL SCHOOL,public,"bam,sra","ena,ncbi,gs,s3","ena,gs.US,ncbi.public,s3.us-east-1",Central_LNBA,ERC000011,2015-11-25,2018-11-16,ERX1215214,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:07Z,public,NextSeq 500,I0103_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663868,ERS971017,ERS971017,ERP012840,Ancient European
ERR1136349,I0104,OTHER,GCF_000001405.25,76,1128126069,PRJEB11450,SAMEA3663869,313535567,HARVARD MEDICAL SCHOOL,public,"bam,sra","ena,s3,gs,ncbi","ncbi.public,gs.US,ena,s3.us-east-1",Central_LNBA,ERC000011,2015-11-25,2018-11-16,ERX1215215,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:07Z,public,NextSeq 500,I0104_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663869,ERS971018,ERS971018,ERP012840,Ancient European
ERR1136350,I0106,OTHER,GCF_000001405.25,60,57662302,PRJEB11450,SAMEA3663870,21178161,HARVARD MEDICAL SCHOOL,public,"sra,bam","gs,ena,ncbi,s3","ena,s3.us-east-1,ncbi.public,gs.US",Central_LNBA,ERC000011,2015-11-25,2018-11-16,ERX1215216,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:07Z,public,NextSeq 500,I0106_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663870,ERS971019,ERS971019,ERP012840,Ancient European
ERR1136351,I0108,OTHER,GCF_000001405.25,75,464290306,PRJEB11450,SAMEA3663855,150119619,HARVARD MEDICAL SCHOOL,public,"bam,sra","ena,gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1,ena",Bell_Beaker_LN,ERC000011,2015-11-25,2018-11-16,ERX1215217,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:06Z,public,NextSeq 500,I0108_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663855,ERS971004,ERS971004,ERP012840,Ancient European
ERR1136352,I0111,OTHER,GCF_000001405.25,72,243843369,PRJEB11450,SAMEA3663856,77283911,HARVARD MEDICAL SCHOOL,public,"sra,bam","s3,ncbi,ena,gs","gs.US,s3.us-east-1,ncbi.public,ena",Bell_Beaker_LN,ERC000011,2015-11-25,2018-11-16,ERX1215218,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:06Z,public,NextSeq 500,I0111_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663856,ERS971005,ERS971005,ERP012840,Ancient European
ERR1136353,I0112,OTHER,GCF_000001405.25,80,1072958326,PRJEB11450,SAMEA3663857,365231007,HARVARD MEDICAL SCHOOL,public,"sra,bam","ena,s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1,ena",Bell_Beaker_LN,ERC000011,2015-11-25,2018-11-16,ERX1215219,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:06Z,public,NextSeq 500,I0112_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663857,ERS971006,ERS971006,ERP012840,Ancient European
ERR1136354,I0113,OTHER,GCF_000001405.25,71,294422947,PRJEB11450,SAMEA3663858,97014043,HARVARD MEDICAL SCHOOL,public,"sra,bam","gs,s3,ena,ncbi","gs.US,ena,s3.us-east-1,ncbi.public",Bell_Beaker_LN,ERC000011,2015-11-25,2018-11-16,ERX1215220,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:06Z,public,NextSeq 500,I0113_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663858,ERS971007,ERS971007,ERP012840,Ancient European
ERR1136355,I0114,OTHER,GCF_000001405.25,72,437022437,PRJEB11450,SAMEA3663888,130666578,HARVARD MEDICAL SCHOOL,public,"bam,sra","ena,ncbi,gs,s3","s3.us-east-1,ncbi.public,ena,gs.US",Central_LNBA_1d_rel_I0117,ERC000011,2015-11-25,2018-11-16,ERX1215221,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:09Z,public,NextSeq 500,I0114_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663888,ERS971037,ERS971037,ERP012840,Ancient European
ERR1136356,I0115,OTHER,GCF_000001405.25,56,135023576,PRJEB11450,SAMEA3663871,42725526,HARVARD MEDICAL SCHOOL,public,"bam,sra","s3,ena,gs,ncbi","gs.US,ncbi.public,ena,s3.us-east-1",Central_LNBA,ERC000011,2015-11-25,2018-11-16,ERX1215222,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:07Z,public,NextSeq 500,I0115_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663871,ERS971020,ERS971020,ERP012840,Ancient European
ERR1136357,I0116,OTHER,GCF_000001405.25,76,513816323,PRJEB11450,SAMEA3663872,184073340,HARVARD MEDICAL SCHOOL,public,"bam,sra","s3,gs,ncbi,ena","gs.US,ncbi.public,ena,s3.us-east-1",Central_LNBA,ERC000011,2015-11-25,2018-11-16,ERX1215223,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:07Z,public,NextSeq 500,I0116_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663872,ERS971021,ERS971021,ERP012840,Ancient European
ERR1136358,I0117,OTHER,GCF_000001405.25,59,745018374,PRJEB11450,SAMEA3663873,205574267,HARVARD MEDICAL SCHOOL,public,"bam,sra","ncbi,s3,gs,ena","ncbi.public,ena,gs.US,s3.us-east-1",Central_LNBA,ERC000011,2015-11-25,2018-11-16,ERX1215224,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:08Z,public,NextSeq 500,I0117_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663873,ERS971022,ERS971022,ERP012840,Ancient European
ERR1136359,I0118,OTHER,GCF_000001405.25,68,2851143062,PRJEB11450,SAMEA3663874,883801773,HARVARD MEDICAL SCHOOL,public,"bam,sra","ena,ncbi,gs,s3","gs.US,s3.us-east-1,ena,ncbi.public",Central_LNBA,ERC000011,2015-11-25,2018-11-16,ERX1215225,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:08Z,public,NextSeq 500,I0118_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663874,ERS971023,ERS971023,ERP012840,Ancient European
ERR1136360,I0122,OTHER,GCF_000001405.25,69,230596421,PRJEB11450,SAMEA3663828,70773606,HARVARD MEDICAL SCHOOL,public,"sra,bam","ena,s3,gs,ncbi","gs.US,ena,s3.us-east-1,ncbi.public",Samara_Eneolithic,ERC000011,2015-11-25,2018-11-16,ERX1215226,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:04Z,public,NextSeq 500,I0122_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663828,ERS970977,ERS970977,ERP012840,Ancient European
ERR1136361,I0124,OTHER,GCF_000001405.25,55,162321646,PRJEB11450,SAMEA3663897,49318324,HARVARD MEDICAL SCHOOL,public,"sra,bam","gs,s3,ncbi,ena","ncbi.public,gs.US,s3.us-east-1,ena",EHG,ERC000011,2015-11-25,2018-11-16,ERX1215227,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:51Z,public,NextSeq 500,I0124_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663897,ERS971046,ERS971046,ERP012840,Ancient European
ERR1136362,I0126,OTHER,GCF_000001405.25,61,156579507,PRJEB11450,SAMEA3663829,49090033,HARVARD MEDICAL SCHOOL,public,"bam,sra","ena,gs,s3,ncbi","gs.US,ncbi.public,ena,s3.us-east-1",Poltavka,ERC000011,2015-11-25,2018-11-16,ERX1215228,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:04Z,public,NextSeq 500,I0126_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663829,ERS970978,ERS970978,ERP012840,Ancient European
ERR1136363,I0164,OTHER,GCF_000001405.25,72,556386257,PRJEB11450,SAMEA3663875,170180194,HARVARD MEDICAL SCHOOL,public,"bam,sra","gs,ena,ncbi,s3","s3.us-east-1,ena,gs.US,ncbi.public",Central_LNBA,ERC000011,2015-11-25,2018-11-16,ERX1215229,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:08Z,public,NextSeq 500,I0164_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663875,ERS971024,ERS971024,ERP012840,Ancient European
ERR1136364,I0171,OTHER,GCF_000001405.25,59,29816005,PRJEB11450,SAMEA3663876,12273051,HARVARD MEDICAL SCHOOL,public,"sra,bam","ena,ncbi,s3,gs","ena,gs.US,s3.us-east-1,ncbi.public",Central_LNBA,ERC000011,2015-11-25,2018-11-16,ERX1215230,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:08Z,public,NextSeq 500,I0171_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663876,ERS971025,ERS971025,ERP012840,Ancient European
ERR1136365,I0172,OTHER,GCF_000001405.25,61,6712325131,PRJEB11450,SAMEA3663890,1799212833,HARVARD MEDICAL SCHOOL,public,"bam,sra","s3,ncbi,gs,ena","gs.US,s3.us-east-1,ncbi.public,ena",Central_MN,ERC000011,2015-11-25,2018-11-16,ERX1215231,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:09Z,public,NextSeq 500,I0172_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663890,ERS971039,ERS971039,ERP012840,Ancient European
ERR1136366,I0174,OTHER,GCF_000001405.25,74,104363346,PRJEB11450,SAMEA3663901,35977104,HARVARD MEDICAL SCHOOL,public,"sra,bam","ena,ncbi,s3,gs","ena,ncbi.public,gs.US,s3.us-east-1",Hungary_EN,ERC000011,2015-11-25,2018-11-16,ERX1215232,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:51Z,public,NextSeq 500,I0174_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663901,ERS971050,ERS971050,ERP012840,Ancient European
ERR1136367,I0176,OTHER,GCF_000001405.25,64,35801961,PRJEB11450,SAMEA3663902,14899750,HARVARD MEDICAL SCHOOL,public,"bam,sra","ena,s3,ncbi,gs","gs.US,ncbi.public,ena,s3.us-east-1",Hungary_EN,ERC000011,2015-11-25,2018-11-16,ERX1215233,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:51Z,public,NextSeq 500,I0176_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663902,ERS971051,ERS971051,ERP012840,Ancient European
ERR1136368,I0211,OTHER,GCF_000001405.25,61,31734855,PRJEB11450,SAMEA3663830,11011059,HARVARD MEDICAL SCHOOL,public,"bam,sra","ncbi,gs,ena,s3","ncbi.public,s3.us-east-1,gs.US,ena",EHG,ERC000011,2015-11-25,2018-11-16,ERX1215234,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:14:04Z,public,NextSeq 500,I0211_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663830,ERS970979,ERS970979,ERP012840,Ancient European
ERR1136369,I0231,OTHER,GCF_000001405.25,71,2352251020,PRJEB11450,SAMEA3663982,698544250,HARVARD MEDICAL SCHOOL,public,"sra,bam","s3,gs,ena,ncbi","ncbi.public,gs.US,s3.us-east-1,ena",Yamnaya_Samara,ERC000011,2015-11-25,2018-11-16,ERX1215235,HARVARD MEDICAL SCHOOL,2015-11-25T14:54:13Z,2015-11-13T20:20:57Z,public,NextSeq 500,I0231_all_1240k,SINGLE,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3663982,ERS971131,ERS971131,ERP012840,Ancient European
